CREATE		
LAST	Lfr	"Claire Morgan"
LAST	Les	"Claire Morgan"
LAST	Dde	"US-amerikanische Schriftstellerin (1921-1995)"
LAST	Den	"American novelist and short story writer"
LAST	Des	"escritora estadounidense"
LAST	Dfr	"écrivain américaine"
LAST	Sdewiki	"Patricia Highsmith"
LAST	Senwiki	"Patricia Highsmith"
LAST	Sfrwiki	"Patricia Highsmith"
LAST	Seswiki	"Patricia Highsmith"
LAST	Swikidatawiki	"Q270635"
LAST	P2	Q7
LAST	P154	Q17
LAST	P711	Q399990
LAST	P165	Q23190
LAST	P97	Q400013
LAST	P131	Q400012
LAST	P728	"book_author_1013"
CREATE		
LAST	Lde	"Andreas Maydorn"
LAST	Len	"Andreas Maydorn"
LAST	Lfr	"Andreas Maydorn"
LAST	Les	"Andreas Maydorn"
LAST	Dde	"Autor*in"
LAST	Den	"author"
LAST	Des	"autor"
LAST	Dfr	"auteur"
LAST	P2	Q7
LAST	P154	Q18
LAST	P165	Q23190
LAST	P97	Q400013
LAST	P131	Q400012
LAST	P728	"book_author_1014"
CREATE		
LAST	Lde	"Benjamin Scheffler"
LAST	Len	"Benjamin Scheffler"
LAST	Lfr	"Benjamin Scheffler"
LAST	Les	"Benjamin Scheffler"
LAST	Dde	"Autor*in"
LAST	Den	"author"
LAST	Des	"autor"
LAST	Dfr	"auteur"
LAST	P2	Q7
LAST	P154	Q18
LAST	P165	Q23190
LAST	P97	Q400013
LAST	P131	Q400012
LAST	P728	"book_author_1015"
CREATE		
LAST	Lde	"Andreas Vollbrechtshausen"
LAST	Len	"Andreas Vollbrechtshausen"
LAST	Lfr	"Andreas Vollbrechtshausen"
LAST	Les	"Andreas Vollbrechtshausen"
LAST	Dde	"Autor*in"
LAST	Den	"author"
LAST	Des	"autor"
LAST	Dfr	"auteur"
LAST	P2	Q7
LAST	P154	Q18
LAST	P165	Q23190
LAST	P97	Q400013
LAST	P131	Q400012
LAST	P728	"book_author_1016"
CREATE		
LAST	Lde	"Janet Flanner"
LAST	Len	"Janet Flanner"
LAST	Lfr	"Janet Flanner"
LAST	Les	"Janet Flanner"
LAST	Dde	"US-amerikanische Schriftstellerin, Journalistin und feministische Exzentrikerin"
LAST	Den	"American journalist"
LAST	Des	"periodista estadounidense"
LAST	Dfr	"correspondante parisienne du "New Yorker" de 1925 à 1975"
LAST	Sdewiki	"Janet Flanner"
LAST	Senwiki	"Janet Flanner"
LAST	Sfrwiki	"Janet Flanner"
LAST	Seswiki	"Janet Flanner"
LAST	Swikidatawiki	"Q453384"
LAST	P2	Q7
LAST	P154	Q17
LAST	P711	Q399990
LAST	P165	Q23190
LAST	P97	Q400013
LAST	P131	Q400012
LAST	P622	"119224356"
LAST	P728	"book_author_1017"
LAST	Lde	"Janet Flanner"
LAST	Len	"Janet Flanner"
LAST	Lfr	"Janet Flanner"
LAST	Les	"Janet Flanner"
LAST	Dde	"US-amerikanische Schriftstellerin, Journalistin und feministische Exzentrikerin"
LAST	Den	"American journalist"
LAST	Des	"periodista estadounidense"
LAST	Dfr	"correspondante parisienne du "New Yorker" de 1925 à 1975"
LAST	Sdewiki	"Janet Flanner"
LAST	Senwiki	"Janet Flanner"
LAST	Sfrwiki	"Janet Flanner"
LAST	Seswiki	"Janet Flanner"
LAST	Swikidatawiki	"Q453384"
LAST	P2	Q7
LAST	P154	Q17
LAST	P711	Q400014
LAST	P165	Q23190
LAST	P97	Q400013
LAST	P131	Q400012
LAST	P622	"119224356"
LAST	P728	"book_author_1017"
LAST	Lde	"Janet Flanner"
LAST	Len	"Janet Flanner"
LAST	Lfr	"Janet Flanner"
LAST	Les	"Janet Flanner"
LAST	Dde	"US-amerikanische Schriftstellerin, Journalistin und feministische Exzentrikerin"
LAST	Den	"American journalist"
LAST	Des	"periodista estadounidense"
LAST	Dfr	"correspondante parisienne du "New Yorker" de 1925 à 1975"
LAST	Sdewiki	"Janet Flanner"
LAST	Senwiki	"Janet Flanner"
LAST	Sfrwiki	"Janet Flanner"
LAST	Seswiki	"Janet Flanner"
LAST	Swikidatawiki	"Q453384"
LAST	P2	Q7
LAST	P154	Q17
LAST	P711	Q399988
LAST	P165	Q23190
LAST	P97	Q400013
LAST	P131	Q400012
LAST	P622	"119224356"
LAST	P728	"book_author_1017"
CREATE		
LAST	Lde	"Gilbert Herdt"
LAST	Len	"Gilbert Herdt"
LAST	Lfr	"Gilbert Herdt"
LAST	Les	"Gilbert Herdt"
LAST	Dde	"amerikanische Anthropologin"
LAST	Den	"American anthropologist"
LAST	Des	"antropólogo estadounidense"
LAST	Dfr	"anthropologue américain"
LAST	Senwiki	"Gilbert Herdt"
LAST	Seswiki	"Gilbert H. Herdt"
LAST	Swikidatawiki	"Q5560975"
LAST	P2	Q7
LAST	P154	Q18
LAST	P165	Q23190
LAST	P97	Q400013
LAST	P131	Q400012
LAST	P728	"book_author_102"
CREATE		
LAST	Lde	"Andrew Field"
LAST	Len	"Andrew Field"
LAST	Lfr	"Andrew Field"
LAST	Les	"Andrew Field"
LAST	Dde	"Wissenschaftler, Übersetzer und Autor, der Übersetzungen russischer Literatur, kritische Studien, Biographien, Belletristik, Essays und Reiseberichte veröffentlicht hat"
LAST	Den	"scholar, translator, and author, who has published translations of Russian literature, critical studies, biographies, fiction, essays, and travel articles"
LAST	Des	"Field, Andrew"
LAST	Dfr	"Chercheur, traducteur et auteur, qui a publié des traductions de la littérature russe, des études critiques, des biographies, des romans, des essais et des articles de voyage."
LAST	Swikidatawiki	"Q85458934"
LAST	P2	Q7
LAST	P154	Q18
LAST	P165	Q23190
LAST	P97	Q400013
LAST	P131	Q400012
LAST	P728	"book_author_1020"
CREATE		
LAST	Lde	"Rolf Zemann"
LAST	Len	"Rolf Zemann"
LAST	Lfr	"Rolf Zemann"
LAST	Les	"Rolf Zemann"
LAST	Dde	"Autor*in"
LAST	Den	"author"
LAST	Des	"autor"
LAST	Dfr	"auteur"
LAST	P2	Q7
LAST	P154	Q18
LAST	P165	Q23190
LAST	P97	Q400013
LAST	P131	Q400012
LAST	P622	"172472105"
LAST	P728	"book_author_1021"
CREATE		
LAST	Lde	"Janice G. Raymond"
LAST	Len	"Janice G. Raymond"
LAST	Lfr	"Janice G. Raymond"
LAST	Les	"Janice G. Raymond"
LAST	Dde	"amerikanischer Schriftsteller"
LAST	Den	"American writer"
LAST	Des	"escritora estadounidense"
LAST	Dfr	"écrivaine américaine"
LAST	Senwiki	"Janice Raymond"
LAST	Sfrwiki	"Janice Raymond"
LAST	Swikidatawiki	"Q3307811"
LAST	P2	Q7
LAST	P154	Q17
LAST	P165	Q23190
LAST	P97	Q400013
LAST	P131	Q400012
LAST	P622	"172326591"
LAST	P728	"book_author_1022"
CREATE		
LAST	Lde	"Will McBride"
LAST	Len	"Will McBride"
LAST	Lfr	"Will McBride"
LAST	Les	"Will McBride"
LAST	Dde	"US-amerikanischer Fotograf"
LAST	Den	"American photographer (1931-2015)"
LAST	Des	"fotógrafo estadounidense"
LAST	Dfr	"photographe américain"
LAST	Sdewiki	"Will McBride"
LAST	Senwiki	"Will McBride (photographer)"
LAST	Sfrwiki	"Will McBride"
LAST	Seswiki	"Will McBride"
LAST	Swikidatawiki	"Q2576541"
LAST	P2	Q7
LAST	P154	Q18
LAST	P165	Q23190
LAST	P97	Q400013
LAST	P131	Q400012
LAST	P622	"11881589X"
LAST	P728	"book_author_1023"
CREATE		
LAST	Lde	"Helga Fleischhauer-Hardt"
LAST	Len	"Helga Fleischhauer-Hardt"
LAST	Lfr	"Helga Fleischhauer-Hardt"
LAST	Les	"Helga Fleischhauer-Hardt"
LAST	Dde	"Autor*in"
LAST	Den	"author"
LAST	Des	"autor"
LAST	Dfr	"auteur"
LAST	P2	Q7
LAST	P154	Q17
LAST	P165	Q23190
LAST	P97	Q400013
LAST	P131	Q400012
LAST	P622	"172076781"
LAST	P728	"book_author_1024"
CREATE		
LAST	Lde	"Bernhard Rosenkranz"
LAST	Len	"Bernhard Rosenkranz"
LAST	Lfr	"Bernhard Rosenkranz"
LAST	Les	"Bernhard Rosenkranz"
LAST	Dde	"deutscher Ökotrophologe und Autor"
LAST	Den	"German ecotrophologist and author"
LAST	Des	"Ecotrofólogo y autor alemán"
LAST	Dfr	"écotrophologue et auteur allemand"
LAST	Sdewiki	"Bernhard Rosenkranz"
LAST	Swikidatawiki	"Q18957611"
LAST	P2	Q7
LAST	P154	Q18
LAST	P165	Q23190
LAST	P97	Q400013
LAST	P131	Q400012
LAST	P622	"138062285"
LAST	P728	"book_author_1025"
CREATE		
LAST	Lde	"Gottfried Lorenz"
LAST	Len	"Gottfried Lorenz"
LAST	Lfr	"Gottfried Lorenz"
LAST	Les	"Gottfried Lorenz"
LAST	Dde	"deutscher Lehrer und Autor"
LAST	Den	"German writer"
LAST	Des	"escritor alemán"
LAST	Dfr	"écrivain allemand"
LAST	Sdewiki	"Gottfried Lorenz"
LAST	Swikidatawiki	"Q1539335"
LAST	P2	Q7
LAST	P154	Q18
LAST	P165	Q23190
LAST	P97	Q400013
LAST	P131	Q400012
LAST	P622	"107279479"
LAST	P728	"book_author_1026"
CREATE		
LAST	Lde	"Norbert Zillich"
LAST	Len	"Norbert Zillich"
LAST	Lfr	"Norbert Zillich"
LAST	Les	"Norbert Zillich"
LAST	Dde	"Autor*in"
LAST	Den	"author"
LAST	Des	"autor"
LAST	Dfr	"auteur"
LAST	P2	Q7
LAST	P154	Q18
LAST	P165	Q23190
LAST	P97	Q400013
LAST	P131	Q400012
LAST	P728	"book_author_1027"
CREATE		
LAST	Lde	"Uli Streib-Brzič"
LAST	Len	"Uli Streib-Brzič"
LAST	Lfr	"Uli Streib-Brzič"
LAST	Les	"Uli Streib-Brzič"
LAST	Dde	"Autor*in"
LAST	Den	"author"
LAST	Des	"autor"
LAST	Dfr	"auteur"
LAST	P2	Q7
LAST	P154	Q17
LAST	P165	Q23190
LAST	P97	Q400013
LAST	P131	Q400012
LAST	P622	"130457779"
LAST	P728	"book_author_1028"
CREATE		
LAST	Lde	"Sabine Letuwnik"
LAST	Len	"Sabine Letuwnik"
LAST	Lfr	"Sabine Letuwnik"
LAST	Les	"Sabine Letuwnik"
LAST	Dde	"Autor*in"
LAST	Den	"author"
LAST	Des	"autor"
LAST	Dfr	"auteur"
LAST	P2	Q7
LAST	P154	Q17
LAST	P165	Q23190
LAST	P97	Q400013
LAST	P131	Q400012
LAST	P622	"123912091"
LAST	P728	"book_author_103"
CREATE		
LAST	Lde	"Kainz"
LAST	Len	"Kainz"
LAST	Lfr	"Kainz"
LAST	Les	"Kainz"
LAST	Dde	"Autor*in"
LAST	Den	"author"
LAST	Des	"autor"
LAST	Dfr	"auteur"
LAST	P2	Q7
LAST	P165	Q23190
LAST	P97	Q400013
LAST	P131	Q400012
LAST	P728	"book_author_1031"
CREATE		
LAST	Lde	"Josef"
LAST	Len	"Josef"
LAST	Lfr	"Josef"
LAST	Les	"Josef"
LAST	Dde	"Autor*in"
LAST	Den	"author"
LAST	Des	"autor"
LAST	Dfr	"auteur"
LAST	P2	Q7
LAST	P154	Q18
LAST	P165	Q23190
LAST	P97	Q400013
LAST	P131	Q400012
LAST	P728	"book_author_1032"
CREATE		
LAST	Lde	"Reimut Reiche"
LAST	Len	"Reimut Reiche"
LAST	Lfr	"Reimut Reiche"
LAST	Les	"Reimut Reiche"
LAST	Dde	"deutscher Psychologe, Soziologe, Psychoanalytiker und Sexualforscher"
LAST	Den	"German sociologist"
LAST	Des	"sociólogo alemán"
LAST	Dfr	"sociologue allemand"
LAST	Sdewiki	"Reimut Reiche"
LAST	Senwiki	"Reimut Reiche"
LAST	Sfrwiki	"Reimut Reiche"
LAST	Swikidatawiki	"Q91480"
LAST	P2	Q7
LAST	P154	Q18
LAST	P165	Q23190
LAST	P97	Q400013
LAST	P131	Q400012
LAST	P622	"123341221"
LAST	P728	"book_author_1033"
CREATE		
LAST	Lde	"Jürgen Baldiga"
LAST	Len	"Jürgen Baldiga"
LAST	Lfr	"Jürgen Baldiga"
LAST	Les	"Jürgen Baldiga"
LAST	Dde	"deutscher Fotograf und Künstler"
LAST	Den	"German photographer and artist"
LAST	Des	"Fotógrafo y artista alemán"
LAST	Dfr	"photographe et artiste allemand"
LAST	Sdewiki	"Jürgen Baldiga"
LAST	Swikidatawiki	"Q1716974"
LAST	P2	Q7
LAST	P154	Q18
LAST	P165	Q23190
LAST	P97	Q400013
LAST	P131	Q400012
LAST	P622	"118823612"
LAST	P728	"book_author_1034"
CREATE		
LAST	Lde	"Herman Bang"
LAST	Len	"Herman Bang"
LAST	Lfr	"Herman Bang"
LAST	Les	"Herman Bang"
LAST	Dde	"dänischer Schriftsteller und Journalist"
LAST	Den	"Danish writer (1857-1912)"
LAST	Des	"escritor danés"
LAST	Dfr	"écrivain et journaliste danois"
LAST	Sdewiki	"Herman Bang"
LAST	Senwiki	"Herman Bang"
LAST	Sfrwiki	"Herman Bang"
LAST	Seswiki	"Herman Bang"
LAST	Swikidatawiki	"Q439370"
LAST	P2	Q7
LAST	P154	Q18
LAST	P165	Q23190
LAST	P97	Q400013
LAST	P131	Q400012
LAST	P622	"118809709"
LAST	P728	"book_author_1035"
CREATE		
LAST	Lde	"Richard A. Isay"
LAST	Len	"Richard A. Isay"
LAST	Lfr	"Richard A. Isay"
LAST	Les	"Richard A. Isay"
LAST	Dde	"US-amerikanischer Psychiater und Autor"
LAST	Den	"American psychiatrist"
LAST	Des	"psiquiatra estadounidense"
LAST	Dfr	"Psychiatre et auteur américain"
LAST	Sdewiki	"Richard Isay"
LAST	Senwiki	"Richard Isay"
LAST	Swikidatawiki	"Q363999"
LAST	P2	Q7
LAST	P154	Q18
LAST	P165	Q23190
LAST	P97	Q400013
LAST	P131	Q400012
LAST	P622	"1023844176"
LAST	P728	"book_author_1036"
CREATE		
LAST	Lde	"Thomas A. Wetzstein"
LAST	Len	"Thomas A. Wetzstein"
LAST	Lfr	"Thomas A. Wetzstein"
LAST	Les	"Thomas A. Wetzstein"
LAST	Dde	"Autor*in"
LAST	Den	"author"
LAST	Des	"autor"
LAST	Dfr	"auteur"
LAST	P2	Q7
LAST	P154	Q18
LAST	P165	Q23190
LAST	P97	Q400013
LAST	P131	Q400012
LAST	P622	"172449154"
LAST	P728	"book_author_1037"
CREATE		
LAST	Lde	"Linda Steinmetz"
LAST	Len	"Linda Steinmetz"
LAST	Lfr	"Linda Steinmetz"
LAST	Les	"Linda Steinmetz"
LAST	Dde	"Autor*in"
LAST	Den	"author"
LAST	Des	"autor"
LAST	Dfr	"auteur"
LAST	P2	Q7
LAST	P154	Q17
LAST	P165	Q23190
LAST	P97	Q400013
LAST	P131	Q400012
LAST	P728	"book_author_1038"
CREATE		
LAST	Lde	"Christa Reis"
LAST	Len	"Christa Reis"
LAST	Lfr	"Christa Reis"
LAST	Les	"Christa Reis"
LAST	Dde	"Autor*in"
LAST	Den	"author"
LAST	Des	"autor"
LAST	Dfr	"auteur"
LAST	P2	Q7
LAST	P154	Q17
LAST	P165	Q23190
LAST	P97	Q400013
LAST	P131	Q400012
LAST	P728	"book_author_1039"
CREATE		
LAST	Lde	"Jürgen Freiwald"
LAST	Len	"Jürgen Freiwald"
LAST	Lfr	"Jürgen Freiwald"
LAST	Les	"Jürgen Freiwald"
LAST	Dde	"Autor*in"
LAST	Den	"author"
LAST	Des	"autor"
LAST	Dfr	"auteur"
LAST	P2	Q7
LAST	P154	Q18
LAST	P165	Q23190
LAST	P97	Q400013
LAST	P131	Q400012
LAST	P728	"book_author_104"
CREATE		
LAST	Lde	"Roland Eckert"
LAST	Len	"Roland Eckert"
LAST	Lfr	"Roland Eckert"
LAST	Les	"Roland Eckert"
LAST	Dde	"deutscher Soziologe"
LAST	Den	"German sociologist"
LAST	Des	"sociólogo alemán"
LAST	Dfr	"sociologue allemand"
LAST	Sdewiki	"Roland Eckert"
LAST	Swikidatawiki	"Q2162719"
LAST	P2	Q7
LAST	P154	Q18
LAST	P165	Q23190
LAST	P97	Q400013
LAST	P131	Q400012
LAST	P728	"book_author_1040"
CREATE		
LAST	Lde	"Anthony Gilbert"
LAST	Len	"Anthony Gilbert"
LAST	Lfr	"Anthony Gilbert"
LAST	Les	"Anthony Gilbert"
LAST	Dde	"britische Schriftstellerin (Pseudonym)"
LAST	Den	"British writer (1899-1973)"
LAST	Des	"escritora británica"
LAST	Dfr	"écrivaine britannique"
LAST	Sdewiki	"Lucy Beatrice Malleson"
LAST	Senwiki	"Anthony Gilbert (author)"
LAST	Sfrwiki	"Anthony Gilbert"
LAST	Swikidatawiki	"Q4772592"
LAST	P2	Q7
LAST	P154	Q17
LAST	P165	Q23190
LAST	P97	Q400013
LAST	P131	Q400012
LAST	P728	"book_author_1041"
CREATE		
LAST	Lde	"Stephanie Kuhnen"
LAST	Len	"Stephanie Kuhnen"
LAST	Lfr	"Stephanie Kuhnen"
LAST	Les	"Stephanie Kuhnen"
LAST	Dde	"Autor*in"
LAST	Den	"author"
LAST	Des	"autor"
LAST	Dfr	"auteur"
LAST	P2	Q7
LAST	P154	Q17
LAST	P165	Q23190
LAST	P97	Q400013
LAST	P131	Q400012
LAST	P622	"121996441"
LAST	P728	"book_author_1042"
CREATE		
LAST	Lde	"Peter Wießner"
