qid,Lde,Len,Lfr,Les,Dde,Den,Dfr,Des,P48,P2,P47,P153
,"""München, Maximilianstraße""","""Munich, Maximilianstraße""","""Munich, Maximilianstraße""","""Múnich, Maximilianstraße""","""Straße in München""","""Street in Munich""","""Rue en Munich""","""Calle en Múnich",@48.1372203/11.5898728,Q16200,Q10427,"""Maximilianstraße"""
,"""München, Utzschneiderstraße 7""","""Munich, Utzschneiderstraße 7""","""Munich, Utzschneiderstraße 7""","""Múnich, Utzschneiderstraße 7""","""Straße in München""","""Street in Munich""","""Rue en Munich""","""Calle en Múnich",@48.13381395/11.5760541938463,Q16200,Q10427,"""Utzschneiderstraße 7"""
,"""München, Franz-Josef-Straße 47""","""Munich, Franz-Josef-Straße 47""","""Munich, Franz-Josef-Straße 47""","""Múnich, Franz-Josef-Straße 47""","""Straße in München""","""Street in Munich""","""Rue en Munich""","""Calle en Múnich",@48.02731005/11.5743699998974,Q16200,Q10427,"""Franz-Josef-Straße 47"""
,"""München, Reichenbachstraße 13""","""Munich, Reichenbachstraße 13""","""Munich, Reichenbachstraße 13""","""Múnich, Reichenbachstraße 13""","""Straße in München""","""Street in Munich""","""Rue en Munich""","""Calle en Múnich",@48.1327178/11.5762904,Q16200,Q10427,"""Reichenbachstraße 13"""
,"""München, Hans-Sachs-Straße 8""","""Munich, Hans-Sachs-Straße 8""","""Munich, Hans-Sachs-Straße 8""","""Múnich, Hans-Sachs-Straße 8""","""Straße in München""","""Street in Munich""","""Rue en Munich""","""Calle en Múnich",@48.1300272/11.5698038,Q16200,Q10427,"""Hans-Sachs-Straße 8"""
,"""München, Dultstraße 6""","""Munich, Dultstraße 6""","""Munich, Dultstraße 6""","""Múnich, Dultstraße 6""","""Straße in München""","""Street in Munich""","""Rue en Munich""","""Calle en Múnich",@48.135346/11.57206,Q16200,Q10427,"""Dultstraße 6"""
,"""München, Sendlingerstraße 30""","""Munich, Sendlingerstraße 30""","""Munich, Sendlingerstraße 30""","""Múnich, Sendlingerstraße 30""","""Straße in München""","""Street in Munich""","""Rue en Munich""","""Calle en Múnich",@48.13521395/11.5696846104372,Q16200,Q10427,"""Sendlingerstraße 30"""
,"""München, Klenzestraße 12""","""Munich, Klenzestraße 12""","""Munich, Klenzestraße 12""","""Múnich, Klenzestraße 12""","""Straße in München""","""Street in Munich""","""Rue en Munich""","""Calle en Múnich",@48.13299025/11.5778280441419,Q16200,Q10427,"""Klenzestraße 12"""
,"""München, Corneliusstraße 9""","""Munich, Corneliusstraße 9""","""Munich, Corneliusstraße 9""","""Múnich, Corneliusstraße 9""","""Straße in München""","""Street in Munich""","""Rue en Munich""","""Calle en Múnich",@48.1324557/11.5752370369266,Q16200,Q10427,"""Corneliusstraße 9"""
,"""München, Reisingerstraße 15""","""Munich, Reisingerstraße 15""","""Munich, Reisingerstraße 15""","""Múnich, Reisingerstraße 15""","""Straße in München""","""Street in Munich""","""Rue en Munich""","""Calle en Múnich",@48.1310458/11.5648003,Q16200,Q10427,"""Reisingerstraße 15"""
,"""München, Blumenstraße 43""","""Munich, Blumenstraße 43""","""Munich, Blumenstraße 43""","""Múnich, Blumenstraße 43""","""Straße in München""","""Street in Munich""","""Rue en Munich""","""Calle en Múnich",@48.1321869/11.5687449,Q16200,Q10427,"""Blumenstraße 43"""
,"""München, Baaderstraße 13""","""Munich, Baaderstraße 13""","""Munich, Baaderstraße 13""","""Múnich, Baaderstraße 13""","""Straße in München""","""Street in Munich""","""Rue en Munich""","""Calle en Múnich",@48.13167115/11.5798208346803,Q16200,Q10427,"""Baaderstraße 13"""
,"""München, Lothringerstraße 11""","""Munich, Lothringerstraße 11""","""Munich, Lothringerstraße 11""","""Múnich, Lothringerstraße 11""","""Straße in München""","""Street in Munich""","""Rue en Munich""","""Calle en Múnich",@48.1275912/11.5977303,Q16200,Q10427,"""Lothringerstraße 11"""
,"""München, Ringseisstraße""","""Munich, Ringseisstraße""","""Munich, Ringseisstraße""","""Múnich, Ringseisstraße""","""Straße in München""","""Street in Munich""","""Rue en Munich""","""Calle en Múnich",@48.1294627/11.5609631,Q16200,Q10427,"""Ringseisstraße"""
,"""München, Am Einlaß 5""","""Munich, Am Einlaß 5""","""Munich, Am Einlaß 5""","""Múnich, Am Einlaß 5""","""Straße in München""","""Street in Munich""","""Rue en Munich""","""Calle en Múnich",@48.133823/11.5746381,Q16200,Q10427,"""Am Einlaß 5"""
,"""München, Baaderstraße 49""","""Munich, Baaderstraße 49""","""Munich, Baaderstraße 49""","""Múnich, Baaderstraße 49""","""Straße in München""","""Street in Munich""","""Rue en Munich""","""Calle en Múnich",@48.12906675/11.577033475096,Q16200,Q10427,"""Baaderstraße 49"""
,"""München, Neuturmstraße 5""","""Munich, Neuturmstraße 5""","""Munich, Neuturmstraße 5""","""Múnich, Neuturmstraße 5""","""Straße in München""","""Street in Munich""","""Rue en Munich""","""Calle en Múnich",@48.1380025/11.5809971,Q16200,Q10427,"""Neuturmstraße 5"""
,"""München, Sonnenstraße""","""Munich, Sonnenstraße""","""Munich, Sonnenstraße""","""Múnich, Sonnenstraße""","""Straße in München""","""Street in Munich""","""Rue en Munich""","""Calle en Múnich",@48.1380352/11.5648536,Q16200,Q10427,"""Sonnenstraße"""
,"""München, Waltherstraße 14""","""Munich, Waltherstraße 14""","""Munich, Waltherstraße 14""","""Múnich, Waltherstraße 14""","""Straße in München""","""Street in Munich""","""Rue en Munich""","""Calle en Múnich",@48.1288584/11.5602814,Q16200,Q10427,"""Waltherstraße 14"""
,"""München, Herrenstraße 20""","""Munich, Herrenstraße 20""","""Munich, Herrenstraße 20""","""Múnich, Herrenstraße 20""","""Straße in München""","""Street in Munich""","""Rue en Munich""","""Calle en Múnich",@47.9407675/11.7933001,Q16200,Q10427,"""Herrenstraße 20"""
,"""München, Kollosseum 8""","""Munich, Kollosseum 8""","""Munich, Kollosseum 8""","""Múnich, Kollosseum 8""","""Straße in München""","""Street in Munich""","""Rue en Munich""","""Calle en Múnich",NA,Q16200,Q10427,"""Kollosseum 8"""
,"""München, Pfarrstraße 4""","""Munich, Pfarrstraße 4""","""Munich, Pfarrstraße 4""","""Múnich, Pfarrstraße 4""","""Straße in München""","""Street in Munich""","""Rue en Munich""","""Calle en Múnich",@48.1391122/11.5873849,Q16200,Q10427,"""Pfarrstraße 4"""
